 begins_at open_price close_price high_price low_price volume session interpolated symbol
42 2016-03-30T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
43 2016-03-31T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
44 2016-04-01T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
45 2016-04-02T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
46 2016-04-03T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
47 2016-04-04T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
48 2016-04-05T00:00:00Z 2.040000 2.040000 2.040000 2.040000 0 reg True LSKUSD
49 2016-04-06T00:00:00Z 2.040000 3.770000 3.770000 1.450000 0 reg False LSKUSD
50 2016-04-07T00:00:00Z 3.920000 4.990000 8.290000 2.020000 0 reg False LSKUSD
51 2016-04-08T00:00:00Z 5.010000 4.530000 7.890000 2.500000 0 reg False LSKUSD
52 2016-04-09T00:00:00Z 4.060000 2.440000 4.590000 2.400000 0 reg False LSKUSD
53 2016-04-10T00:00:00Z 2.440000 1.370000 2.760000 1.140000 0 reg False LSKUSD
54 2016-04-11T00:00:00Z 1.370000 3.130000 3.170000 1.270000 0 reg False LSKUSD
55 2016-04-12T00:00:00Z 3.140000 1.230000 3.140000 1.170000 0 reg False LSKUSD
56 2016-04-13T00:00:00Z 1.290000 1.290000 1.380000 0.977100 0 reg False LSKUSD
57 2016-04-14T00:00:00Z 1.000000 1.190000 1.310000 0.736400 0 reg False LSKUSD
58 2016-04-15T00:00:00Z 1.190000 1.200000 1.740000 1.090000 0 reg False LSKUSD
59 2016-04-16T00:00:00Z 1.200000 1.230000 1.260000 0.867800 0 reg False LSKUSD
60 2016-04-17T00:00:00Z 1.230000 1.660000 1.800000 1.150000 0 reg False LSKUSD
61 2016-04-18T00:00:00Z 1.660000 1.020000 1.660000 0.928800 0 reg False LSKUSD
62 2016-04-19T00:00:00Z 1.020000 1.850000 1.960000 1.020000 0 reg False LSKUSD
63 2016-04-20T00:00:00Z 1.850000 1.330000 1.850000 1.300000 0 reg False LSKUSD
64 2016-04-21T00:00:00Z 1.330000 1.650000 1.840000 1.330000 0 reg False LSKUSD
65 2016-04-22T00:00:00Z 1.650000 1.820000 1.980000 0.948400 0 reg False LSKUSD
66 2016-04-23T00:00:00Z 1.820000 1.270000 2.100000 1.150000 0 reg False LSKUSD
67 2016-04-24T00:00:00Z 1.270000 1.410000 1.740000 0.986200 0 reg False LSKUSD
68 2016-04-25T00:00:00Z 1.420000 0.773500 1.420000 0.773500 0 reg False LSKUSD
69 2016-04-26T00:00:00Z 0.773900 0.729200 0.802300 0.701300 0 reg False LSKUSD
70 2016-04-27T00:00:00Z 0.729500 0.623200 0.835400 0.622500 0 reg False LSKUSD
71 2016-04-28T00:00:00Z 0.623700 0.738700 0.742700 0.454900 0 reg False LSKUSD
72 2016-04-29T00:00:00Z 0.739400 0.765800 0.788700 0.514700 0 reg False LSKUSD
73 2016-04-30T00:00:00Z 0.766000 1.270000 1.650000 0.734700 0 reg False LSKUSD
74 2016-05-01T00:00:00Z 1.270000 0.708800 1.630000 0.559100 0 reg False LSKUSD
75 2016-05-02T00:00:00Z 0.708900 1.180000 1.400000 0.676900 0 reg False LSKUSD
76 2016-05-03T00:00:00Z 1.180000 0.725300 1.440000 0.723900 0 reg False LSKUSD
77 2016-05-04T00:00:00Z 0.725100 1.520000 1.520000 0.717700 0 reg False LSKUSD
78 2016-05-05T00:00:00Z 1.520000 1.420000 1.560000 1.230000 0 reg False LSKUSD
79 2016-05-06T00:00:00Z 1.420000 0.814000 1.630000 0.814000 0 reg False LSKUSD
80 2016-05-07T00:00:00Z 0.814100 0.696200 0.851100 0.694600 0 reg False LSKUSD
81 2016-05-08T00:00:00Z 0.696000 0.790500 1.080000 0.635100 0 reg False LSKUSD
82 2016-05-09T00:00:00Z 0.789900 0.761200 0.789900 0.745400 0 reg False LSKUSD
83 2016-05-10T00:00:00Z 0.761200 0.833600 0.858500 0.748900 0 reg False LSKUSD
84 2016-05-11T00:00:00Z 0.833500 1.220000 1.510000 0.833500 0 reg False LSKUSD
85 2016-05-12T00:00:00Z 1.220000 0.816700 1.220000 0.779600 0 reg False LSKUSD
86 2016-05-13T00:00:00Z 0.816800 0.788600 0.817400 0.779700 0 reg False LSKUSD
87 2016-05-14T00:00:00Z 0.788900 0.824600 0.889900 0.788800 0 reg False LSKUSD
88 2016-05-15T00:00:00Z 0.824800 0.829400 0.931800 0.777300 0 reg False LSKUSD
89 2016-05-16T00:00:00Z 0.829400 0.784400 0.841400 0.779700 0 reg False LSKUSD
90 2016-05-17T00:00:00Z 0.784000 0.750800 1.710000 0.481600 0 reg False LSKUSD
91 2016-05-18T00:00:00Z 0.750700 1.890000 2.140000 0.750000 0 reg False LSKUSD
92 2016-05-19T00:00:00Z 1.890000 1.430000 2.300000 1.320000 0 reg False LSKUSD
93 2016-05-20T00:00:00Z 1.420000 3.410000 3.410000 1.370000 0 reg False LSKUSD
94 2016-05-21T00:00:00Z 3.410000 4.080000 4.810000 1.960000 0 reg False LSKUSD
95 2016-05-22T00:00:00Z 4.080000 2.740000 4.500000 2.250000 0 reg False LSKUSD
96 2016-05-23T00:00:00Z 2.740000 2.950000 3.480000 2.360000 0 reg False LSKUSD
97 2016-05-24T00:00:00Z 2.960000 0.560100 6.970000 0.417600 0 reg False LSKUSD
98 2016-05-25T00:00:00Z 0.621300 0.278500 0.621300 0.171400 0 reg False LSKUSD
99 2016-05-26T00:00:00Z 0.269700 0.501000 0.501000 0.269600 0 reg False LSKUSD
100 2016-05-27T00:00:00Z 0.519500 0.385300 0.568800 0.332400 0 reg False LSKUSD
101 2016-05-28T00:00:00Z 0.388100 0.347800 0.404500 0.278900 0 reg False LSKUSD
102 2016-05-29T00:00:00Z 0.353600 0.377300 0.409800 0.347700 0 reg False LSKUSD
103 2016-05-30T00:00:00Z 0.380100 0.351000 0.392600 0.346200 0 reg False LSKUSD
104 2016-05-31T00:00:00Z 0.350100 0.312800 0.367200 0.302900 0 reg False LSKUSD
105 2016-06-01T00:00:00Z 0.314500 0.338000 0.340800 0.307000 0 reg False LSKUSD
106 2016-06-02T00:00:00Z 0.336400 0.330800 0.337300 0.320400 0 reg False LSKUSD
107 2016-06-03T00:00:00Z 0.330600 0.409400 0.415100 0.330600 0 reg False LSKUSD
108 2016-06-04T00:00:00Z 0.410200 0.443900 0.472800 0.399700 0 reg False LSKUSD
109 2016-06-05T00:00:00Z 0.446400 0.489600 0.507100 0.439600 0 reg False LSKUSD
110 2016-06-06T00:00:00Z 0.482000 0.452100 0.489900 0.435300 0 reg False LSKUSD
111 2016-06-07T00:00:00Z 0.452200 0.419900 0.454300 0.399900 0 reg False LSKUSD
112 2016-06-08T00:00:00Z 0.419500 0.475700 0.489500 0.399100 0 reg False LSKUSD
113 2016-06-09T00:00:00Z 0.473800 0.461600 0.494800 0.459900 0 reg False LSKUSD
114 2016-06-10T00:00:00Z 0.461200 0.455200 0.467100 0.437400 0 reg False LSKUSD
115 2016-06-11T00:00:00Z 0.457500 0.450300 0.465500 0.440100 0 reg False LSKUSD
116 2016-06-12T00:00:00Z 0.453300 0.421900 0.453500 0.399500 0 reg False LSKUSD
117 2016-06-13T00:00:00Z 0.423900 0.469500 0.469700 0.416800 0 reg False LSKUSD
118 2016-06-14T00:00:00Z 0.466000 0.468200 0.487900 0.444000 0 reg False LSKUSD
119 2016-06-15T00:00:00Z 0.470200 0.461000 0.475500 0.447200 0 reg False LSKUSD
120 2016-06-16T00:00:00Z 0.463400 0.455000 0.470700 0.444700 0 reg False LSKUSD
121 2016-06-17T00:00:00Z 0.455800 0.436200 0.464500 0.366200 0 reg False LSKUSD
122 2016-06-18T00:00:00Z 0.435200 0.348300 0.446700 0.339200 0 reg False LSKUSD
123 2016-06-19T00:00:00Z 0.348100 0.363100 0.385100 0.345000 0 reg False LSKUSD
124 2016-06-20T00:00:00Z 0.363400 0.323800 0.363400 0.304300 0 reg False LSKUSD
125 2016-06-21T00:00:00Z 0.323100 0.328400 0.353900 0.312600 0 reg False LSKUSD
126 2016-06-22T00:00:00Z 0.328600 0.351100 0.432400 0.313600 0 reg False LSKUSD
127 2016-06-23T00:00:00Z 0.348100 0.359000 0.368200 0.339600 0 reg False LSKUSD
128 2016-06-24T00:00:00Z 0.361500 0.380600 0.382300 0.332900 0 reg False LSKUSD
129 2016-06-25T00:00:00Z 0.379000 0.354800 0.395500 0.349100 0 reg False LSKUSD
130 2016-06-26T00:00:00Z 0.357100 0.323500 0.358200 0.322200 0 reg False LSKUSD
131 2016-06-27T00:00:00Z 0.323200 0.307200 0.340700 0.293600 0 reg False LSKUSD
132 2016-06-28T00:00:00Z 0.308900 0.290000 0.321400 0.275900 0 reg False LSKUSD
133 2016-06-29T00:00:00Z 0.288200 0.302100 0.310500 0.282900 0 reg False LSKUSD
134 2016-06-30T00:00:00Z 0.303100 0.311300 0.321900 0.303100 0 reg False LSKUSD
135 2016-07-01T00:00:00Z 0.307400 0.324200 0.328400 0.305700 0 reg False LSKUSD
136 2016-07-02T00:00:00Z 0.326600 0.310600 0.327000 0.300900 0 reg False LSKUSD
137 2016-07-03T00:00:00Z 0.311100 0.301400 0.316000 0.299900 0 reg False LSKUSD
138 2016-07-04T00:00:00Z 0.302700 0.306700 0.306700 0.296800 0 reg False LSKUSD
139 2016-07-05T00:00:00Z 0.305400 0.290500 0.306800 0.278900 0 reg False LSKUSD
140 2016-07-06T00:00:00Z 0.289400 0.286700 0.297900 0.282500 0 reg False LSKUSD
141 2016-07-07T00:00:00Z 0.286800 0.274200 0.287200 0.258300 0 reg False LSKUSD
142 2016-07-08T00:00:00Z 0.274200 0.281600 0.294100 0.272700 0 reg False LSKUSD
143 2016-07-09T00:00:00Z 0.281600 0.280500 0.284200 0.268800 0 reg False LSKUSD
144 2016-07-10T00:00:00Z 0.280400 0.295700 0.295700 0.273900 0 reg False LSKUSD
145 2016-07-11T00:00:00Z 0.296300 0.334100 0.355300 0.296300 0 reg False LSKUSD
146 2016-07-12T00:00:00Z 0.334400 0.314500 0.340200 0.314500 0 reg False LSKUSD
147 2016-07-13T00:00:00Z 0.316200 0.316100 0.331400 0.310300 0 reg False LSKUSD
148 2016-07-14T00:00:00Z 0.315700 0.328400 0.331700 0.315200 0 reg False LSKUSD
149 2016-07-15T00:00:00Z 0.329000 0.327400 0.338800 0.325700 0 reg False LSKUSD
150 2016-07-16T00:00:00Z 0.327700 0.322900 0.330100 0.315400 0 reg False LSKUSD
151 2016-07-17T00:00:00Z 0.322500 0.315500 0.327600 0.308800 0 reg False LSKUSD
152 2016-07-18T00:00:00Z 0.315800 0.309000 0.323700 0.305400 0 reg False LSKUSD
153 2016-07-19T00:00:00Z 0.307100 0.314300 0.317400 0.303400 0 reg False LSKUSD
154 2016-07-20T00:00:00Z 0.314400 0.311400 0.316500 0.307100 0 reg False LSKUSD
155 2016-07-21T00:00:00Z 0.311700 0.318000 0.319800 0.307500 0 reg False LSKUSD
156 2016-07-22T00:00:00Z 0.318600 0.308300 0.329900 0.301300 0 reg False LSKUSD
157 2016-07-23T00:00:00Z 0.308400 0.311800 0.313600 0.305800 0 reg False LSKUSD
