 begins_at open_price close_price high_price low_price volume session interpolated symbol
0 2016-02-17T00:00:00Z 3.230000 3.240000 3.260000 3.200000 0 reg False LTCUSD
1 2016-02-18T00:00:00Z 3.250000 3.250000 3.270000 3.230000 0 reg False LTCUSD
2 2016-02-19T00:00:00Z 3.260000 3.250000 3.270000 3.230000 0 reg False LTCUSD
3 2016-02-20T00:00:00Z 3.270000 3.460000 3.500000 3.260000 0 reg False LTCUSD
4 2016-02-21T00:00:00Z 3.460000 3.460000 3.580000 3.400000 0 reg False LTCUSD
5 2016-02-22T00:00:00Z 3.470000 3.480000 3.510000 3.430000 0 reg False LTCUSD
6 2016-02-23T00:00:00Z 3.490000 3.400000 3.520000 3.380000 0 reg False LTCUSD
7 2016-02-24T00:00:00Z 3.400000 3.370000 3.420000 3.320000 0 reg False LTCUSD
8 2016-02-25T00:00:00Z 3.390000 3.370000 3.400000 3.330000 0 reg False LTCUSD
9 2016-02-26T00:00:00Z 3.370000 3.420000 3.420000 3.320000 0 reg False LTCUSD
10 2016-02-27T00:00:00Z 3.430000 3.410000 3.450000 3.390000 0 reg False LTCUSD
11 2016-02-28T00:00:00Z 3.410000 3.440000 3.470000 3.360000 0 reg False LTCUSD
12 2016-02-29T00:00:00Z 3.440000 3.450000 3.490000 3.420000 0 reg False LTCUSD
13 2016-03-01T00:00:00Z 3.450000 3.430000 3.450000 3.410000 0 reg False LTCUSD
14 2016-03-02T00:00:00Z 3.430000 3.370000 3.440000 3.370000 0 reg False LTCUSD
15 2016-03-03T00:00:00Z 3.360000 3.320000 3.360000 3.310000 0 reg False LTCUSD
16 2016-03-04T00:00:00Z 3.320000 3.250000 3.350000 3.250000 0 reg False LTCUSD
17 2016-03-05T00:00:00Z 3.250000 3.190000 3.250000 3.130000 0 reg False LTCUSD
18 2016-03-06T00:00:00Z 3.190000 3.220000 3.250000 3.170000 0 reg False LTCUSD
19 2016-03-07T00:00:00Z 3.220000 3.270000 3.270000 3.200000 0 reg False LTCUSD
20 2016-03-08T00:00:00Z 3.270000 3.250000 3.280000 3.230000 0 reg False LTCUSD
21 2016-03-09T00:00:00Z 3.250000 3.280000 3.300000 3.240000 0 reg False LTCUSD
22 2016-03-10T00:00:00Z 3.280000 3.290000 3.290000 3.250000 0 reg False LTCUSD
23 2016-03-11T00:00:00Z 3.290000 3.380000 3.400000 3.290000 0 reg False LTCUSD
24 2016-03-12T00:00:00Z 3.390000 3.290000 3.390000 3.270000 0 reg False LTCUSD
25 2016-03-13T00:00:00Z 3.290000 3.310000 3.320000 3.280000 0 reg False LTCUSD
26 2016-03-14T00:00:00Z 3.310000 3.300000 3.330000 3.290000 0 reg False LTCUSD
27 2016-03-15T00:00:00Z 3.300000 3.310000 3.330000 3.290000 0 reg False LTCUSD
28 2016-03-16T00:00:00Z 3.310000 3.310000 3.320000 3.300000 0 reg False LTCUSD
29 2016-03-17T00:00:00Z 3.310000 3.310000 3.320000 3.300000 0 reg False LTCUSD
30 2016-03-18T00:00:00Z 3.310000 3.170000 3.310000 3.150000 0 reg False LTCUSD
31 2016-03-19T00:00:00Z 3.170000 3.180000 3.190000 3.160000 0 reg False LTCUSD
32 2016-03-20T00:00:00Z 3.180000 3.210000 3.210000 3.180000 0 reg False LTCUSD
33 2016-03-21T00:00:00Z 3.210000 3.200000 3.210000 3.190000 0 reg False LTCUSD
34 2016-03-22T00:00:00Z 3.200000 3.230000 3.240000 3.200000 0 reg False LTCUSD
35 2016-03-23T00:00:00Z 3.230000 3.240000 3.250000 3.220000 0 reg False LTCUSD
