 begins_at open_price close_price high_price low_price volume session interpolated symbol
0 2016-02-17T00:00:00Z 0.002600 0.002200 0.002600 0.002000 0 reg False NEOUSD
1 2016-02-18T00:00:00Z 0.002200 0.002100 0.002200 0.002100 0 reg False NEOUSD
2 2016-02-19T00:00:00Z 0.002100 0.002100 0.002200 0.002100 0 reg False NEOUSD
3 2016-02-20T00:00:00Z 0.002100 0.002100 0.002200 0.002100 0 reg False NEOUSD
4 2016-02-21T00:00:00Z 0.002100 0.002200 0.002200 0.002100 0 reg False NEOUSD
5 2016-02-22T00:00:00Z 0.002200 0.002000 0.002200 0.002000 0 reg False NEOUSD
6 2016-02-23T00:00:00Z 0.002000 0.001900 0.002100 0.001900 0 reg False NEOUSD
7 2016-02-24T00:00:00Z 0.001900 0.002000 0.002000 0.001900 0 reg False NEOUSD
8 2016-02-25T00:00:00Z 0.001900 0.002000 0.002000 0.001900 0 reg False NEOUSD
9 2016-02-26T00:00:00Z 0.002000 0.001900 0.002000 0.001900 0 reg False NEOUSD
10 2016-02-27T00:00:00Z 0.002000 0.002000 0.002000 0.001900 0 reg False NEOUSD
11 2016-02-28T00:00:00Z 0.002000 0.002000 0.002000 0.001900 0 reg False NEOUSD
12 2016-02-29T00:00:00Z 0.002000 0.001900 0.002000 0.001900 0 reg False NEOUSD
13 2016-03-01T00:00:00Z 0.001900 0.001900 0.002000 0.001900 0 reg False NEOUSD
14 2016-03-02T00:00:00Z 0.001900 0.001900 0.002000 0.001800 0 reg False NEOUSD
15 2016-03-03T00:00:00Z 0.001900 0.001900 0.001900 0.001900 0 reg False NEOUSD
16 2016-03-04T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
17 2016-03-05T00:00:00Z 0.001900 0.001800 0.001900 0.001800 0 reg False NEOUSD
18 2016-03-06T00:00:00Z 0.001800 0.001900 0.001900 0.001800 0 reg False NEOUSD
19 2016-03-07T00:00:00Z 0.001900 0.002400 0.002500 0.001900 0 reg False NEOUSD
20 2016-03-08T00:00:00Z 0.002300 0.002200 0.002400 0.002100 0 reg False NEOUSD
21 2016-03-09T00:00:00Z 0.002200 0.002200 0.002300 0.002200 0 reg False NEOUSD
22 2016-03-10T00:00:00Z 0.002200 0.002400 0.002400 0.002200 0 reg False NEOUSD
23 2016-03-11T00:00:00Z 0.002400 0.002600 0.002900 0.002400 0 reg False NEOUSD
24 2016-03-12T00:00:00Z 0.002600 0.002300 0.002600 0.002200 0 reg False NEOUSD
25 2016-03-13T00:00:00Z 0.002300 0.002200 0.002300 0.002200 0 reg False NEOUSD
26 2016-03-14T00:00:00Z 0.002200 0.002100 0.002300 0.002100 0 reg False NEOUSD
27 2016-03-15T00:00:00Z 0.002100 0.002200 0.002200 0.002100 0 reg False NEOUSD
28 2016-03-16T00:00:00Z 0.002200 0.002100 0.002200 0.002100 0 reg False NEOUSD
29 2016-03-17T00:00:00Z 0.002100 0.002100 0.002200 0.002100 0 reg False NEOUSD
30 2016-03-18T00:00:00Z 0.002100 0.002000 0.002200 0.002000 0 reg False NEOUSD
31 2016-03-19T00:00:00Z 0.002000 0.002000 0.002100 0.002000 0 reg False NEOUSD
32 2016-03-20T00:00:00Z 0.002000 0.002100 0.002100 0.002000 0 reg False NEOUSD
33 2016-03-21T00:00:00Z 0.002100 0.002100 0.002100 0.002000 0 reg False NEOUSD
34 2016-03-22T00:00:00Z 0.002100 0.002100 0.002100 0.002100 0 reg False NEOUSD
35 2016-03-23T00:00:00Z 0.002100 0.002200 0.002200 0.002000 0 reg False NEOUSD
36 2016-03-24T00:00:00Z 0.002200 0.002100 0.002200 0.002100 0 reg False NEOUSD
37 2016-03-25T00:00:00Z 0.002100 0.002100 0.002100 0.002000 0 reg False NEOUSD
38 2016-03-26T00:00:00Z 0.002100 0.002100 0.002100 0.002000 0 reg False NEOUSD
39 2016-03-27T00:00:00Z 0.002100 0.002000 0.002100 0.002000 0 reg False NEOUSD
40 2016-03-28T00:00:00Z 0.002000 0.002100 0.002200 0.002000 0 reg False NEOUSD
41 2016-03-29T00:00:00Z 0.002100 0.002100 0.002100 0.002100 0 reg False NEOUSD
42 2016-03-30T00:00:00Z 0.002100 0.002000 0.002100 0.002000 0 reg False NEOUSD
43 2016-03-31T00:00:00Z 0.002000 0.002000 0.002100 0.002000 0 reg False NEOUSD
44 2016-04-01T00:00:00Z 0.002000 0.002000 0.002100 0.002000 0 reg False NEOUSD
45 2016-04-02T00:00:00Z 0.002000 0.002100 0.002100 0.002000 0 reg False NEOUSD
46 2016-04-03T00:00:00Z 0.002100 0.002200 0.002200 0.002100 0 reg False NEOUSD
47 2016-04-04T00:00:00Z 0.002200 0.002300 0.002500 0.002200 0 reg False NEOUSD
48 2016-04-05T00:00:00Z 0.002300 0.002200 0.002300 0.002100 0 reg False NEOUSD
49 2016-04-06T00:00:00Z 0.002200 0.002200 0.002200 0.002100 0 reg False NEOUSD
50 2016-04-07T00:00:00Z 0.002200 0.002200 0.002200 0.002100 0 reg False NEOUSD
51 2016-04-08T00:00:00Z 0.002200 0.002200 0.002200 0.002100 0 reg False NEOUSD
52 2016-04-09T00:00:00Z 0.002200 0.002000 0.002200 0.002000 0 reg False NEOUSD
53 2016-04-10T00:00:00Z 0.002000 0.001900 0.002100 0.001400 0 reg False NEOUSD
54 2016-04-11T00:00:00Z 0.001900 0.001900 0.002000 0.001900 0 reg False NEOUSD
55 2016-04-12T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
56 2016-04-13T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
57 2016-04-14T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
58 2016-04-15T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
59 2016-04-16T00:00:00Z 0.001900 0.001900 0.001900 0.001900 0 reg False NEOUSD
60 2016-04-17T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
61 2016-04-18T00:00:00Z 0.001900 0.001900 0.001900 0.001900 0 reg False NEOUSD
62 2016-04-19T00:00:00Z 0.001900 0.001900 0.001900 0.001900 0 reg False NEOUSD
63 2016-04-20T00:00:00Z 0.001900 0.001900 0.001900 0.001900 0 reg False NEOUSD
64 2016-04-21T00:00:00Z 0.001900 0.001900 0.002000 0.001800 0 reg False NEOUSD
65 2016-04-22T00:00:00Z 0.001900 0.001900 0.001900 0.001900 0 reg False NEOUSD
66 2016-04-23T00:00:00Z 0.001900 0.001900 0.001900 0.001900 0 reg False NEOUSD
67 2016-04-24T00:00:00Z 0.001900 0.001900 0.002000 0.001900 0 reg False NEOUSD
68 2016-04-25T00:00:00Z 0.001900 0.001900 0.002000 0.001900 0 reg False NEOUSD
69 2016-04-26T00:00:00Z 0.001900 0.001800 0.001900 0.001700 0 reg False NEOUSD
70 2016-04-27T00:00:00Z 0.001800 0.001800 0.001900 0.001800 0 reg False NEOUSD
71 2016-04-28T00:00:00Z 0.001800 0.001900 0.001900 0.001800 0 reg False NEOUSD
72 2016-04-29T00:00:00Z 0.001900 0.001800 0.001900 0.001800 0 reg False NEOUSD
73 2016-04-30T00:00:00Z 0.001800 0.001900 0.001900 0.001800 0 reg False NEOUSD
74 2016-05-01T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
75 2016-05-02T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
76 2016-05-03T00:00:00Z 0.001900 0.001900 0.001900 0.001900 0 reg False NEOUSD
77 2016-05-04T00:00:00Z 0.001900 0.001900 0.001900 0.001800 0 reg False NEOUSD
