 begins_at open_price close_price high_price low_price volume session interpolated symbol
0 2016-02-17T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
1 2016-02-18T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
2 2016-02-19T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
3 2016-02-20T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
4 2016-02-21T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
5 2016-02-22T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
6 2016-02-23T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
7 2016-02-24T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
8 2016-02-25T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
9 2016-02-26T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
10 2016-02-27T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
11 2016-02-28T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
12 2016-02-29T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
13 2016-03-01T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
14 2016-03-02T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
15 2016-03-03T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
16 2016-03-04T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
17 2016-03-05T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
18 2016-03-06T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
19 2016-03-07T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
20 2016-03-08T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
21 2016-03-09T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
22 2016-03-10T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
23 2016-03-11T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
24 2016-03-12T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
25 2016-03-13T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
26 2016-03-14T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
27 2016-03-15T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
28 2016-03-16T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
29 2016-03-17T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
30 2016-03-18T00:00:00Z 93.740000 93.740000 93.740000 93.740000 0 reg True BSVUSD
