 begins_at open_price close_price high_price low_price volume session interpolated symbol
0 2016-02-17T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
1 2016-02-18T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
2 2016-02-19T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
3 2016-02-20T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
4 2016-02-21T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
5 2016-02-22T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
6 2016-02-23T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
7 2016-02-24T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
8 2016-02-25T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
9 2016-02-26T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
10 2016-02-27T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
11 2016-02-28T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
12 2016-02-29T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
13 2016-03-01T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
14 2016-03-02T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
15 2016-03-03T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
16 2016-03-04T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
17 2016-03-05T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
18 2016-03-06T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
19 2016-03-07T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
20 2016-03-08T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
21 2016-03-09T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
22 2016-03-10T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
23 2016-03-11T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
24 2016-03-12T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
25 2016-03-13T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
26 2016-03-14T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
27 2016-03-15T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
28 2016-03-16T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
29 2016-03-17T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
30 2016-03-18T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
31 2016-03-19T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
32 2016-03-20T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
33 2016-03-21T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
34 2016-03-22T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
35 2016-03-23T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
36 2016-03-24T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
37 2016-03-25T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
38 2016-03-26T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
39 2016-03-27T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
40 2016-03-28T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
41 2016-03-29T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
42 2016-03-30T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
43 2016-03-31T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
44 2016-04-01T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
45 2016-04-02T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
46 2016-04-03T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
47 2016-04-04T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
48 2016-04-05T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
49 2016-04-06T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
50 2016-04-07T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
51 2016-04-08T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
52 2016-04-09T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
53 2016-04-10T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
54 2016-04-11T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
55 2016-04-12T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
56 2016-04-13T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
57 2016-04-14T00:00:00Z 479.820000 479.820000 479.820000 479.820000 0 reg True BTGUSD
